71890063174,B CHANMALA & N.H & V HOANG T/A SIMPLY DELICIOUS,SIMPLDEL01,309,02/08/2016 00:00,APINV,Fresh Fruit Platter Catering, , ,C,Paid/Credited,HUM_AP,09/08/2016 00:00,10270380
72002208915,ADCORP AUST PTY LTD,ADCORAUS01,WG1628011,28/07/2016 00:00,APINV,"Ord#4268 - Senior lecturer, Teaching aca",Curtin Medical School, ,O,Approved,SS_AP,04/08/2016 00:00,10269130
21002888762,HUDSON GLOBAL RESOURCES PTY LTD,HUDSGLOB00,I000503980,27/07/2016 00:00,APINV,Vaghjiani Kamal,PE 22/07/16, ,C,Paid/Credited,SS_AP,03/08/2016 00:00,10269161
21002888762,HUDSON GLOBAL RESOURCES PTY LTD,HUDSGLOB00,I000503648,27/07/2016 00:00,APINV,Grober Thomas,PE 22/07/16, ,C,Paid/Credited,SS_AP,03/08/2016 00:00,10269154
36584134397,AMELIA MAREE TRUST & THE PEEL SEPTICS TRUST,SYSTEMMA00,701125,26/07/2016 00:00,APINV,WR474044 B209  SUPPLY & FIT REPLACEMENT,USC PUMP, ,O,Approved,SS_AP,25/08/2016 00:00,10268838
52058390917,THERMO FISHER SCIENTIFIC AUSTRALIA PTY LTD,THERFISH00,I2502073,25/07/2016 00:00,APINV,Combustion reactor tube, , ,O,Approved,SAE_AP,24/08/2016 00:00,10268508
67197124232,R & B PLUMBING & GAS,RBPLUMB 00,13600,28/07/2016 00:00,APINV,WR474665 - B314 - Install HWU and change,isolation valve to unit, ,C,Paid/Credited,SS_AP,11/08/2016 00:00,10269353
52097227177,ALLIANZ GLOBAL ASSISTANCE,ALLIAGLO00,1.615E+11,26/07/2016 00:00,APINV,OSHC/ PUREVGEREL/ 09082016-08102018, , ,O,Approved,SS_AP,25/08/2016 00:00,10268818
19125641019,CURTIS BROWN,BROWNC  00,1052,26/07/2016 00:00,APINV,1CURTIN FM 100.HR SPONSORSHIP RECORDING,SESSIONS, ,C,Paid/Credited,SS_AP,27/07/2016 00:00,10269201
49077535632,TOTAL RISC TECHNOLOGY,TOTALRIS00,INVAU614639,01/08/2016 00:00,APINV,Sun Maintenance Qtr 2 - 28 July 2016 to,27 October 2016 Tim O Sullivan CITS, ,O,Approved,SS_AP,15/08/2016 00:00,10269758
92162921511,ADVANCE PRESS (2013) PTY LTD,ADVAPRES00,102638,18/07/2016 00:00,APINV,UMP Alternative Pathways Guide 2017,CURT001, ,C,Paid/Credited,SS_AP,25/07/2016 00:00,10267256
34164691570,Gnome Nation Pty Ltd,GNOMENAT00,15222,25/07/2016 00:00,APINV,F-Seminar recording Sexualities and,Dementia, ,O,Approved,HTH_AP,24/08/2016 00:00,10268347
41000495269,TNT EXPRESS,TNTINMAI00,48956550,23/07/2016 00:00,APINV,courier Acc# 30010429 week 30, , ,C,Paid/Credited,HTH_AP,06/08/2016 00:00,10268912
94091596235,A-TEAM PRINTING,ATEAMPRI00,86853,21/07/2016 00:00,APINV,250x Presentation Folder with 5mm Gusset, , ,O,Approved,SS_AP,20/08/2016 00:00,10268251
91156505118,RMTP ENTERPRISES PTY LTD T/A SCORPION TRAINING SOLUTIONS,SCORPTRA00,5399,18/07/2016 00:00,APINV,RMTP ENTERPRISES,HEALTH AND SAFETY TRAINING,JEANNE - CHIRI,O,Approved,HTH_AP,17/08/2016 00:00,10267854
21002888762,HUDSON GLOBAL RESOURCES PTY LTD,HUDSGLOB00,I000500211,13/07/2016 00:00,APINV,Kim Lloyd,School of Pharmacy, ,C,Paid/Credited,HTH_AP,20/07/2016 00:00,10266492
